vagues 93545,ADJECTIVE
office 93370,NOUN,HAS_EXAMPLE
placé 92922,PARTICIPLE,HAS_EXAMPLE
chiens 92821,NOUN,PLURAL
trajet 92781,NOUN
seules 93060,ADJECTIVE
temple 92558,NOUN,HAS_EXAMPLE
crâne 92350,ADJECTIVE
allant 92163,ADJECTIVE
bouger 92342,VERB
talent 92077,NOUN,OBSOLETE
stress 91694,NOUN
idéal 92118,ADJECTIVE
locaux 90678,ADJECTIVE
aurais 90496,VERB,HAS_EXAMPLE
liées 90117,PARTICIPLE
thèse 89244,NOUN,HAS_EXAMPLE
perdue 88889,ADJECTIVE
tables 88596,NOUN,PLURAL
venant 88861,ADJECTIVE
diable 88350,ADVERB,HAS_EXAMPLE
solide 88322,ADJECTIVE
revenu 87922,NOUN,HAS_EXAMPLE
vivent 87441,VERB,INFLECTED_FORM,SUBJ
excès 87816,NOUN,HAS_EXAMPLE
banque 86801,NOUN
pensez 87338,VERB,FORM_OF,IMP,INFLECTED_FORM
sœurs 86733,NOUN,PLURAL
claire 86627,ADJECTIVE
pêche 86362,NOUN,HAS_EXAMPLE
moteur 86698,ADJECTIVE
posée 86278,PARTICIPLE
placer 86121,VERB
pencha 85848,VERB,3PS,INFLECTED_FORM
motifs 85363,NOUN,PLURAL
calcul 85989,NOUN,HAS_EXAMPLE
quitte 85010,ADJECTIVE
intime 84712,ADJECTIVE
pénal 84638,ADJECTIVE
connue 84532,ADJECTIVE
fumée 84535,ADJECTIVE,HAS_EXAMPLE
fleuve 83966,NOUN,HAS_EXAMPLE
assure 83840,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
arriva 83952,VERB,3PS,INFLECTED_FORM
vivant 83543,ADJECTIVE,HAS_EXAMPLE
vivait 83450,VERB,3PS,INFLECTED_FORM
décor 82952,NOUN,HAS_EXAMPLE
actuel 82680,ADJECTIVE
prises 83128,NOUN,PLURAL
parfum 82666,NOUN,HAS_EXAMPLE
lycée 82234,NOUN
têtes 82404,NOUN,PLURAL
douche 81961,NOUN
états 81948,NOUN,PLURAL
cadeau 81398,NOUN
savons 81230,NOUN,PLURAL
libres 80381,ADJECTIVE
tombé 80560,PARTICIPLE
nuages 80390,NOUN,PLURAL
gagné 79972,PARTICIPLE
fondé 79881,ADJECTIVE
couper 79635,VERB,HAS_EXAMPLE
boulot 79326,NOUN,HAS_EXAMPLE
royale 79256,ADJECTIVE
climat 79225,NOUN
romans 79074,ADJECTIVE
offert 79040,PARTICIPLE
quelle 78667,ADJECTIVE,HAS_EXAMPLE
dessin 78654,NOUN,HAS_EXAMPLE
enjeux 78650,NOUN,PLURAL
rentre 77888,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
mienne 78030,ADJECTIVE
fortes 77439,ADJECTIVE
croyez 77511,VERB,FORM_OF,IMP,INFLECTED_FORM
voient 77594,VERB,INFLECTED_FORM,SUBJ
dirige 77421,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
glissa 77333,VERB,3PS,INFLECTED_FORM
gueule 76948,NOUN
lancé 76895,PARTICIPLE
voyais 76616,VERB
crème 76577,ADJECTIVE
routes 76126,NOUN,PLURAL
gardé 75863,PARTICIPLE
salles 75876,NOUN,PLURAL
riches 75839,ADJECTIVE
poème 75559,NOUN
places 75546,NOUN,PLURAL
allure 75465,NOUN,HAS_EXAMPLE
pattes 75003,NOUN,PLURAL
talons 74872,NOUN,PLURAL
avouer 75021,VERB,HAS_EXAMPLE
fermer 74712,VERB,HAS_EXAMPLE
suivit 74218,VERB,3PS,INFLECTED_FORM
disais 74106,VERB
douter 73972,VERB,HAS_EXAMPLE
noires 74060,ADJECTIVE
statue 73705,NOUN
bruits 73657,NOUN,PLURAL
releva 73429,VERB,3PS,INFLECTED_FORM
active 73272,ADJECTIVE
navire 73502,NOUN
lutter 73242,VERB,HAS_EXAMPLE
commis 73221,ADJECTIVE
fesses 72881,NOUN,PLURAL
rayons 72759,NOUN,PLURAL
fêtes 72327,NOUN,PLURAL
budget 71859,NOUN
mœurs 71805,NOUN
crimes 71641,NOUN,PLURAL
soldat 72510,NOUN
acteur 71439,NOUN
adulte 71232,ADJECTIVE
calmer 71225,VERB
rempli 71021,ADJECTIVE
lourde 70953,ADJECTIVE
pommes 70852,NOUN,PLURAL
divine 70774,ADJECTIVE
visant 70659,PARTICIPLE
occupe 70610,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
menton 70446,NOUN
bassin 70423,NOUN
graves 70363,VERB,INFLECTED_FORM,SUBJ
hautes 70330,ADJECTIVE
suivie 69854,PARTICIPLE
auront 69424,VERB,HAS_EXAMPLE
pardon 69341,INTERJECTION
hausse 69665,NOUN,HAS_EXAMPLE
métal 69245,NOUN
minuit 69201,NOUN,HAS_EXAMPLE
étiez 68431,VERB
option 68329,NOUN
mandat 68299,NOUN
sauter 68073,VERB,HAS_EXAMPLE
majeur 68020,ADJECTIVE,HAS_EXAMPLE
côtes 68070,NOUN,PLURAL
beurre 67903,NOUN,HAS_EXAMPLE
agence 67890,NOUN
songea 67899,VERB,3PS,INFLECTED_FORM
cousin 67860,NOUN,HAS_EXAMPLE
voyons 67765,INTERJECTION
épée 67948,NOUN
sembla 67790,VERB,3PS,INFLECTED_FORM
coûts 67557,NOUN,PLURAL
ultime 67248,ADJECTIVE
livrer 67234,VERB
prenez 67073,VERB,FORM_OF,IMP,INFLECTED_FORM
paquet 67022,NOUN,HAS_EXAMPLE
leçon 66870,NOUN
jouait 66671,VERB,3PS,INFLECTED_FORM
impôt 66848,NOUN
oiseau 66590,NOUN
peines 66284,NOUN,PLURAL
trône 66587,NOUN,HAS_EXAMPLE
haussa 66216,VERB,3PS,INFLECTED_FORM
valait 66240,VERB,3PS,INFLECTED_FORM
survie 65627,NOUN
utiles 65886,ADJECTIVE
entré 65552,PARTICIPLE
levant 65492,ADJECTIVE
pitié 65210,NOUN
couche 65128,NOUN,HAS_EXAMPLE
profil 65064,NOUN
masque 64956,NOUN
remise 64909,NOUN
marbre 64977,NOUN
billet 64857,NOUN,HAS_EXAMPLE
caché 64429,ADJECTIVE
cadres 64433,VERB,INFLECTED_FORM,SUBJ
quitta 64376,VERB,3PS,INFLECTED_FORM
patrie 64262,NOUN
baissa 64334,VERB,3PS,INFLECTED_FORM
trente 64252,NUMERAL
bêtes 64186,ADJECTIVE
signé 63846,PARTICIPLE
finale 63784,ADJECTIVE
troupe 63636,NOUN
situé 63414,PARTICIPLE
absolu 63447,ADJECTIVE,HAS_EXAMPLE
devint 63305,VERB,3PS,INFLECTED_FORM
romain 63258,ADJECTIVE
invite 63036,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
indice 62817,NOUN
danser 62796,VERB
voisin 62112,ADJECTIVE
formé 61373,PARTICIPLE
piège 61270,NOUN,HAS_EXAMPLE
amener 61231,VERB,HAS_EXAMPLE
sainte 61309,ADJECTIVE
envoie 61227,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
vertus 61130,NOUN,PLURAL
caisse 61221,NOUN
future 60800,ADJECTIVE
céder 60797,VERB,HAS_EXAMPLE
lâcha 60796,VERB,3PS,INFLECTED_FORM
baisse 60367,NOUN,HAS_EXAMPLE
verres 60149,NOUN,PLURAL
montra 59849,VERB,3PS,INFLECTED_FORM
restes 59484,NOUN,PLURAL
rendue 59263,PARTICIPLE
reflet 59361,NOUN
signal 59021,NOUN
acquis 58949,ADJECTIVE
poudre 58842,NOUN
jusque 58820,PREPOSITION
mondes 58819,NOUN,PLURAL
sacré 58681,ADJECTIVE,HAS_EXAMPLE
doutes 58601,VERB,INFLECTED_FORM,SUBJ
frappe 58464,NOUN,HAS_EXAMPLE
partit 58273,VERB,3PS,INFLECTED_FORM
fallut 58366,VERB,3PS,INFLECTED_FORM
connus 57957,ADJECTIVE
ferais 57885,VERB
retenu 57635,ADJECTIVE
océan 57600,NOUN
grille 57337,NOUN,HAS_EXAMPLE
amené 57014,PARTICIPLE
refuge 56684,NOUN
mirent 56741,VERB,INFLECTED_FORM,SUBJ
infini 56481,ADJECTIVE
poings 56422,NOUN,PLURAL
fermé 56731,ADJECTIVE
conçu 56416,PARTICIPLE
jouent 56407,VERB,INFLECTED_FORM,SUBJ
gentil 56348,ADJECTIVE,HAS_EXAMPLE
rôles 56159,NOUN,PLURAL
mobile 56171,ADJECTIVE
flamme 56116,NOUN,HAS_EXAMPLE
couler 56116,VERB,HAS_EXAMPLE
épais 55817,ADJECTIVE,HAS_EXAMPLE
usages 55778,NOUN,PLURAL
glisse 55951,NOUN
pères 55660,NOUN,PLURAL
congé 55679,NOUN
vapeur 55654,NOUN
bouton 55634,NOUN
cesser 55413,VERB
reçut 55374,VERB,3PS,INFLECTED_FORM
larges 55360,ADJECTIVE
fureur 55228,NOUN,HAS_EXAMPLE
cœurs 54982,NOUN,PLURAL
serrer 54626,VERB,HAS_EXAMPLE
citron 54594,NOUN
ombres 54721,NOUN,PLURAL
coûte 54547,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
essaie 54448,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
farine 54491,NOUN
clause 54257,NOUN
posant 54299,PARTICIPLE
mères 54275,NOUN,PLURAL
ruines 54239,VERB,INFLECTED_FORM,SUBJ
rêver 54153,VERB
parent 53907,ADJECTIVE
briser 53898,VERB,HAS_EXAMPLE
postes 53968,NOUN,PLURAL
boucle 53827,NOUN
allée 53670,NOUN
eurent 53596,VERB
impose 53341,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
sortis 53525,PARTICIPLE
chaude 53215,ADJECTIVE,HAS_EXAMPLE
essaya 53140,VERB,3PS,INFLECTED_FORM
volant 52797,ADJECTIVE,HAS_EXAMPLE
égale 52716,ADJECTIVE
retira 52669,VERB,3PS,INFLECTED_FORM
herbes 52556,NOUN,PLURAL
global 52408,ADJECTIVE
crises 52226,NOUN,PLURAL
lèvre 52357,NOUN
sauvé 52147,PARTICIPLE
humide 52206,ADJECTIVE
bottes 52134,NOUN,PLURAL
lâche 51757,ADJECTIVE
regret 51685,NOUN
bonté 51553,NOUN
urbain 51393,ADJECTIVE
plante 51093,NOUN
poches 51001,ADJECTIVE
prenne 50864,VERB,3PS,INFLECTED_FORM,SUBJ
prouve 50903,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
menée 50550,PARTICIPLE
joyeux 50609,ADJECTIVE
goutte 50515,ADVERB,HAS_EXAMPLE
censé 50488,ADJECTIVE,HAS_EXAMPLE
souris 50435,NOUN
appela 50519,VERB,3PS,INFLECTED_FORM
jetant 50249,PARTICIPLE
depuis 50177,ADVERB,HAS_EXAMPLE
penche 50138,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
cabine 50060,NOUN
vienne 49695,VERB,3PS,HAS_EXAMPLE,INFLECTED_FORM,SUBJ
serons 49764,VERB
expert 49566,ADJECTIVE,HAS_EXAMPLE
appels 49531,NOUN,PLURAL
prêts 49562,ADJECTIVE
carnet 49266,NOUN
cités 49039,NOUN,PLURAL
grotte 48737,NOUN
brisé 48835,ADJECTIVE
ignore 48572,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
fusion 48563,NOUN
vidéo 48522,ADJECTIVE
ironie 48392,NOUN
amène 48254,ADJECTIVE
failli 48216,ADJECTIVE
rouler 48236,VERB,HAS_EXAMPLE
rendus 48041,PARTICIPLE
courbe 48033,ADJECTIVE
manche 48041,NOUN,HAS_EXAMPLE
apport 48030,NOUN,HAS_EXAMPLE
venais 47805,VERB
forcer 47785,VERB
fondre 47541,VERB
drôle 47425,ADJECTIVE,HAS_EXAMPLE
pistes 47479,NOUN,PLURAL
veines 47432,NOUN,PLURAL
plaque 47239,NOUN,HAS_EXAMPLE
métro 47176,NOUN
monté 47126,ADJECTIVE,HAS_EXAMPLE
conclu 47227,ADJECTIVE
maigre 47198,ADJECTIVE
coffre 47091,NOUN
démon 47024,NOUN
nommer 46824,VERB,HAS_EXAMPLE
drogue 46610,NOUN
plages 46685,NOUN,PLURAL
craint 46468,PARTICIPLE
