bande 110565,NOUN,HAS_EXAMPLE
angle 109522,NOUN,HAS_EXAMPLE
dieux 109561,NOUN,PLURAL
liés 109330,PARTICIPLE
tente 108886,NOUN
jolie 107406,ADJECTIVE
danse 107655,NOUN
devez 107252,VERB,HAS_EXAMPLE
folie 106820,NOUN
refus 107203,NOUN,HAS_EXAMPLE
seuil 106819,NOUN,HAS_EXAMPLE
morte 106553,ADJECTIVE
digne 106166,ADJECTIVE,HAS_EXAMPLE
sites 106054,NOUN,PLURAL
aimé 106173,ADJECTIVE
assis 104894,ADJECTIVE
avion 104168,NOUN,HAS_EXAMPLE
coût 104017,NOUN,HAS_EXAMPLE
queue 103847,NOUN
fallu 103475,PARTICIPLE
aient 103272,VERB,INFLECTED_FORM,SUBJ
juger 102544,VERB,HAS_EXAMPLE
entra 102474,VERB,3PS,INFLECTED_FORM
magie 101836,NOUN
bains 102284,NOUN,PLURAL
venus 100864,PARTICIPLE
trace 100325,NOUN
appui 100674,NOUN
fruit 99805,NOUN
joué 99589,ADJECTIVE
lourd 99539,ADJECTIVE,HAS_EXAMPLE
piste 99195,NOUN,HAS_EXAMPLE
futur 99766,ADJECTIVE
tenue 98874,NOUN
films 98802,NOUN,PLURAL
moral 98260,ADJECTIVE,HAS_EXAMPLE
liée 97805,PARTICIPLE
âmes 97238,NOUN,PLURAL
motif 96677,NOUN,HAS_EXAMPLE
lance 96026,NOUN
ferme 95261,ADJECTIVE
tiré 95176,NOUN
trait 94549,NOUN
revue 94641,NOUN
outil 94111,NOUN
soupe 94282,NOUN,HAS_EXAMPLE
pause 93360,NOUN,HAS_EXAMPLE
nuits 92554,NOUN,PLURAL
euros 92254,NOUN,PLURAL
culte 92288,ADJECTIVE
russe 91697,ADJECTIVE
juges 91411,NOUN,PLURAL
quart 91269,ADJECTIVE
tiens 91095,ADJECTIVE
entre 92034,PREPOSITION
lueur 90625,NOUN
union 90657,NOUN
drame 90461,NOUN
voies 90558,NOUN,PLURAL
