thème 101968,NOUN,HAS_EXAMPLE
dépit 101334,NOUN
courte 100388,ADJECTIVE
gérer 100332,VERB,HAS_EXAMPLE
accent 100327,NOUN,HAS_EXAMPLE
soupir 99581,NOUN
fameux 99384,ADJECTIVE,HAS_EXAMPLE
empire 97256,NOUN
quête 97422,NOUN
bière 97188,NOUN,HAS_EXAMPLE
assise 96806,ADJECTIVE
former 96255,VERB
blancs 95433,ADJECTIVE
tendre 94728,ADJECTIVE
éclat 94351,NOUN,HAS_EXAMPLE
froide 94481,ADJECTIVE
vagues 93545,ADJECTIVE
office 93370,NOUN,HAS_EXAMPLE
trajet 92781,NOUN
seules 93060,ADJECTIVE
temple 92558,NOUN,HAS_EXAMPLE
crâne 92350,ADJECTIVE
allant 92163,ADJECTIVE
bouger 92342,VERB
talent 92077,NOUN,OBSOLETE
stress 91694,NOUN
idéal 92118,ADJECTIVE
locaux 90678,ADJECTIVE
thèse 89244,NOUN,HAS_EXAMPLE
perdue 88889,ADJECTIVE
venant 88861,ADJECTIVE
diable 88350,ADVERB,HAS_EXAMPLE
solide 88322,ADJECTIVE
revenu 87922,NOUN,HAS_EXAMPLE
excès 87816,NOUN,HAS_EXAMPLE
banque 86801,NOUN
claire 86627,ADJECTIVE
pêche 86362,NOUN,HAS_EXAMPLE
moteur 86698,ADJECTIVE
placer 86121,VERB
calcul 85989,NOUN,HAS_EXAMPLE
quitte 85010,ADJECTIVE
intime 84712,ADJECTIVE
pénal 84638,ADJECTIVE
connue 84532,ADJECTIVE
fumée 84535,ADJECTIVE,HAS_EXAMPLE
fleuve 83966,NOUN,HAS_EXAMPLE
vivant 83543,ADJECTIVE,HAS_EXAMPLE
décor 82952,NOUN,HAS_EXAMPLE
actuel 82680,ADJECTIVE
parfum 82666,NOUN,HAS_EXAMPLE
lycée 82234,NOUN
douche 81961,NOUN
cadeau 81398,NOUN
libres 80381,ADJECTIVE
fondé 79881,ADJECTIVE
couper 79635,VERB,HAS_EXAMPLE
boulot 79326,NOUN,HAS_EXAMPLE
royale 79256,ADJECTIVE
climat 79225,NOUN
romans 79074,ADJECTIVE
quelle 78667,ADJECTIVE,HAS_EXAMPLE
dessin 78654,NOUN,HAS_EXAMPLE
mienne 78030,ADJECTIVE
fortes 77439,ADJECTIVE
gueule 76948,NOUN
crème 76577,ADJECTIVE
riches 75839,ADJECTIVE
poème 75559,NOUN
allure 75465,NOUN,HAS_EXAMPLE
avouer 75021,VERB,HAS_EXAMPLE
fermer 74712,VERB,HAS_EXAMPLE
douter 73972,VERB,HAS_EXAMPLE
noires 74060,ADJECTIVE
statue 73705,NOUN
active 73272,ADJECTIVE
navire 73502,NOUN
lutter 73242,VERB,HAS_EXAMPLE
commis 73221,ADJECTIVE
budget 71859,NOUN
mœurs 71805,NOUN
soldat 72510,NOUN
acteur 71439,NOUN
adulte 71232,ADJECTIVE
calmer 71225,VERB
rempli 71021,ADJECTIVE
lourde 70953,ADJECTIVE
divine 70774,ADJECTIVE
menton 70446,NOUN
bassin 70423,NOUN
hautes 70330,ADJECTIVE
pardon 69341,NOUN
hausse 69665,NOUN,HAS_EXAMPLE
métal 69245,NOUN
minuit 69201,NOUN,HAS_EXAMPLE
option 68329,NOUN
mandat 68299,NOUN
sauter 68073,VERB,HAS_EXAMPLE
majeur 68020,ADJECTIVE,HAS_EXAMPLE
beurre 67903,NOUN,HAS_EXAMPLE
agence 67890,NOUN
cousin 67860,NOUN,HAS_EXAMPLE
épée 67948,NOUN
ultime 67248,ADJECTIVE
livrer 67234,VERB
paquet 67022,NOUN,HAS_EXAMPLE
leçon 66870,NOUN
impôt 66848,NOUN
oiseau 66590,NOUN
trône 66587,NOUN,HAS_EXAMPLE
survie 65627,NOUN
utiles 65886,ADJECTIVE
levant 65492,ADJECTIVE
pitié 65210,NOUN
couche 65128,NOUN,HAS_EXAMPLE
profil 65064,NOUN
masque 64956,NOUN
remise 64909,NOUN
marbre 64977,NOUN
billet 64857,NOUN,HAS_EXAMPLE
caché 64429,ADJECTIVE
patrie 64262,NOUN
bêtes 64186,ADJECTIVE
finale 63784,ADJECTIVE
troupe 63636,NOUN
absolu 63447,ADJECTIVE,HAS_EXAMPLE
romain 63258,ADJECTIVE
indice 62817,NOUN
danser 62796,VERB
voisin 62112,ADJECTIVE
piège 61270,NOUN,HAS_EXAMPLE
amener 61231,VERB,HAS_EXAMPLE
sainte 61309,ADJECTIVE
caisse 61221,NOUN
future 60800,ADJECTIVE
céder 60797,VERB,HAS_EXAMPLE
baisse 60367,NOUN,HAS_EXAMPLE
reflet 59361,NOUN
signal 59021,NOUN
acquis 58949,ADJECTIVE
poudre 58842,NOUN
sacré 58681,ADJECTIVE,HAS_EXAMPLE
frappe 58464,NOUN,HAS_EXAMPLE
connus 57957,ADJECTIVE
ferais 57885,VERB
retenu 57635,ADJECTIVE
océan 57600,NOUN
grille 57337,NOUN,HAS_EXAMPLE
refuge 56684,NOUN
infini 56481,ADJECTIVE
fermé 56731,ADJECTIVE
gentil 56348,ADJECTIVE,HAS_EXAMPLE
mobile 56171,ADJECTIVE
flamme 56116,NOUN,HAS_EXAMPLE
couler 56116,VERB,HAS_EXAMPLE
épais 55817,ADJECTIVE,HAS_EXAMPLE
glisse 55951,NOUN
congé 55679,NOUN
vapeur 55654,NOUN
bouton 55634,NOUN
cesser 55413,VERB
larges 55360,ADJECTIVE
fureur 55228,NOUN,HAS_EXAMPLE
serrer 54626,VERB,HAS_EXAMPLE
citron 54594,NOUN
farine 54491,NOUN
clause 54257,NOUN
rêver 54153,VERB
parent 53907,ADJECTIVE
briser 53898,VERB,HAS_EXAMPLE
boucle 53827,NOUN
allée 53670,NOUN
chaude 53215,ADJECTIVE,HAS_EXAMPLE
volant 52797,ADJECTIVE,HAS_EXAMPLE
égale 52716,ADJECTIVE
global 52408,ADJECTIVE
lèvre 52357,NOUN
humide 52206,ADJECTIVE
lâche 51757,ADJECTIVE
regret 51685,NOUN
bonté 51553,NOUN
urbain 51393,ADJECTIVE
plante 51093,NOUN
poches 51001,ADJECTIVE
joyeux 50609,ADJECTIVE
goutte 50515,ADVERB,HAS_EXAMPLE
censé 50488,ADJECTIVE,HAS_EXAMPLE
souris 50435,NOUN
depuis 50177,ADVERB,HAS_EXAMPLE
cabine 50060,NOUN
serons 49764,VERB
expert 49566,ADJECTIVE,HAS_EXAMPLE
prêts 49562,ADJECTIVE
carnet 49266,NOUN
grotte 48737,NOUN
brisé 48835,ADJECTIVE
fusion 48563,NOUN
vidéo 48522,ADJECTIVE
ironie 48392,NOUN
amène 48254,ADJECTIVE
failli 48216,ADJECTIVE
rouler 48236,VERB,HAS_EXAMPLE
courbe 48033,ADJECTIVE
manche 48041,NOUN,HAS_EXAMPLE
apport 48030,NOUN,HAS_EXAMPLE
forcer 47785,VERB
drôle 47425,ADJECTIVE,HAS_EXAMPLE
plaque 47239,NOUN,HAS_EXAMPLE
métro 47176,NOUN
monté 47126,ADJECTIVE,HAS_EXAMPLE
conclu 47227,ADJECTIVE
maigre 47198,ADJECTIVE
coffre 47091,NOUN
démon 47024,NOUN
nommer 46824,VERB,HAS_EXAMPLE
drogue 46610,NOUN
sexuel 46441,ADJECTIVE,HAS_EXAMPLE
rideau 46259,NOUN
mentir 46173,VERB,HAS_EXAMPLE
légal 45935,ADJECTIVE
bâton 45861,NOUN
poulet 45658,NOUN
fière 45589,ADJECTIVE
carton 45458,NOUN
balcon 45444,NOUN
relais 44908,NOUN
mètre 45073,NOUN
trafic 44654,NOUN
chœur 43994,NOUN,HAS_EXAMPLE
marier 43618,VERB,HAS_EXAMPLE
plaine 43613,ADJECTIVE
feront 43647,VERB
hurler 43603,VERB
dedans 43561,ADVERB
rituel 43238,ADJECTIVE
nobles 42959,ADJECTIVE
futurs 43123,ADJECTIVE
télé 42934,NOUN,HAS_EXAMPLE
stable 42899,ADJECTIVE
dirais 42809,VERB
organe 42673,NOUN
poivre 42674,NOUN
tirant 42593,NOUN
trompe 42460,NOUN
exacte 42550,ADJECTIVE
fourni 42391,ADJECTIVE
valoir 42068,VERB,HAS_EXAMPLE
obéir 41928,VERB,HAS_EXAMPLE
camion 41884,NOUN
verrez 41787,VERB
causer 41618,VERB,HAS_EXAMPLE
timide 41588,ADJECTIVE
paille 41504,NOUN
sèche 41460,ADJECTIVE
élite 41426,NOUN
réels 41375,ADJECTIVE
casque 41365,NOUN
signer 41199,VERB
instar 41194,NOUN
cancer 41473,NOUN
néant 41007,NOUN
amende 40780,NOUN
panier 40643,NOUN
joueur 40345,ADJECTIVE
fausse 40359,ADJECTIVE
forcé 40208,ADJECTIVE
oublie 40183,NOUN
songer 40105,VERB
latine 40098,ADJECTIVE
vastes 40014,ADJECTIVE
béton 39960,NOUN,HAS_EXAMPLE
putain 39805,NOUN
mairie 39877,NOUN
saluer 39723,VERB
cuisse 39619,NOUN
sonore 39396,ADJECTIVE
vierge 39496,ADJECTIVE,HAS_EXAMPLE
cahier 39268,NOUN
revers 39234,NOUN
chevet 39243,NOUN
ardeur 39122,NOUN
grève 39099,NOUN,HAS_EXAMPLE
comble 39020,ADJECTIVE,HAS_EXAMPLE
valise 38853,NOUN
verser 38823,VERB
saints 38798,ADJECTIVE
péril 38499,NOUN
relief 38367,NOUN,HAS_EXAMPLE
